Intent,Final Resolution,
Speed_Charts,"Speed Charts are entered and maintained in FI$Cal by your department's accounting team. If you are experiencing issues with Speed Charts, please ask your accounting team:

1.Whether they have entered the desired Speed Charts in system under SetID as your business unit.
2. If the SetID for the Speed Chart is ""STATE."" If so, the Speed Chart will not be available for selection on transactions and it must be deactivated and a new Speed Chart must be created under SetID equal to your department's business unit.
3. The security option checkbox must be selected for ""Universal ( All Users )""

If you still have issues regarding Speed Charts after checking on the above mentioned points with your department's accounting team,raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or via ServiceNow for further assistance.",
Change_Conflict_error_,"Change Conflict error comes when your data is conflicting with already saved data. If you receive a conflicting change error, check the subcontracting link. If there are two rows present for same supplier and in both rows the primary vendor flag has been checked, then:

1. Open PO and click on subcontracting link
2. Click on supplier search and then select any bidder ID
3. Click on 'OK'
4. Again Click on OK
5. click on subcontracting link Again
6. Delete 2nd row having bidder ID selected in above steps
7. Click on OK and save the PO. This time error message will not appear

If there is'nt a duplicate row of supplier at Subcontracting link, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.",
Event_amendments,"To add attachments, comments or make any changes to a posted Event, you have to create a new version of the Event from Event Workbench. In the new version, add attachments, comments and make other changes. Then submit the Event for approval. Once the Event is approved, your added comments, attachment and changes will be visible. For more details, see the link below:

http://www.fiscal.ca.gov/upk/PO383_v2.1.0/html/tpc/fcfa13b3-1079-40f1-9321-c935dbd02517/topic.html",
View_Printable_Version_,"If you are using the ""View Printable Version"" link to create a PDF print of a PO, the PDF generated will always show ""DRAFT"" and ""Unauthorized"" signature because it for reference purposes only. The only valid printable version is generated from FI$Cal when a user dispatches a PO, which creates a PDF file with departmental logo and signature in the Report Manager.",
SCPRS_Entry_,"While uploading SCPRS data during the SCPRS upload process for large data files it is recommended to split larger files into small files to find errors. Use below link for assistance on SCPRS upload batch process:

https://www.dgs.ca.gov/pd/Programs/eprocurement/SUPERTool.aspx

Also, for further assistance on Fiscal SCPRS batch process you can contact DGS Procurement: eprocure@dgs.ca.gov",
Split_Chart_Fields_,"To create a Requisition with multiple chartfield rows, click on Requisition Settings and follow these steps:
1. Select the Override box as default options
2. Add multiple rows for chartfields lines in accounting defaults and click OK. This action will copy the chartfield rows to all Requisition lines

After modifying the Requisition Settings, create a PO and follow these steps:
1. Click on PO Defaults
2. Select the Override box as default options.
3. Add multiple rows for chartfields lines in Distributions and click OK. This action will copy chart field rows to all of the PO lines.",
Error_Message:_Custom_Price_on_PO_lines,"The ""Custom Price on PO"" line error message appears when a PO has been created from a contract and the Buyer tries to change the merchandise amount on the PO. In such situations follow these steps: 
1. Open the PO.
2. Navigate to the Price Adjustment tab.
3. Change Adjustment amount to your desired amount and click ""OK."" 
4. Click on the ""Save"" button.
5. Once saved, you can budget check the PO.",
Change_order_History_,"Change Order is the process to make a change to a dispatched PO. The Change Order must be in ""Approved"" status for the Review Changes page to show details of the changes made to a the PO.
To view changes made to a dispatched PO, navigate to:
Purchasing > Purchase Orders > Manage Change Orders > Review Changes",
PO_Access_,"The error message ""No Add-Update Access"" occurs when a Buyer is attempting to access and update another Buyer's PO. It indicates that you have not been set up to access transactions entered by that Buyer.
To resolve the issue, raise a ticket with the FI$Cal Service Center via ServiceNow or by emailing fiscalservicecenter@fiscal.ca.gov",
Activity_Summary,"The Activity Log of a PO provides the following information:
1. Who created the PO and when
2. Who approved the PO and when
3. Who modified the PO and when
To check the Activity Log of a PO, scroll down to the bottom of the PO and at the ""Go to"" drop down menu, select ""Activity Log.""
To find the details for the Receipts, Vouchers, and Matched Invoices created from a PO please click on the ""Activity Summary"" link on the PO page.",
Re-Trigger_Approval,"To resubmit a Requisition for approval a user will need to retrigger approval workflow. A workflow is retriggered when there is any change to price or quantity of a Requisition. The steps to retrigger approval workflow of a Requisition are as follows: 
1. Navigate to eProcurement > Manage Requisitions and provide the Business unit and Requisition ID and then click on Search.
2. Select the Requisition ID and click the Edit Requisition button.
3. Make changes to the price or quantity of any Requisition line and click the Save & Submit button.
4. Revert the changes made in previous step and click on Save & Submit button. Once a Requisition is saved the workflow is retriggered.

To resubmit a PO for approval a user will need to retrigger approval workflow. A workflow is retriggered when there is any change to price or quantity of a PO. The steps to retrigger the approval workflow of a PO are as follows: 
1. Navigate to eProcurement > Buyer Center > Manage PO and provide the Business unit and PO ID and click on Search.
2. Select The PO ID.
3. Make changes to the price or quantity of any PO line and click the Save button.
4. Revert the changes made in previous step and click the Save button. Once a PO is saved the workflow is retriggered.",
Allow_Open_Item_Error,"The system will not allow the creation of multiple contracts for the same supplier with the same start and end date nor allow two or more contracts to have ""Open Item"" checked. Check the following:
1. Check the Supplier ID that has been provided on the Procurement contract.
2. Check whether there is another procurement contract open for same supplier and with same start and end date as provided in current contract.

If ""Open Item"" is already checked on another contract for the same supplier with the same start date and end date, then it will need to be unchecked for this contract.",
Rounding_Off_,The tax calculation on a PO is calculated at Line level not at PO Header level; this is the delivered functionality as different tax rates can be applied to different lines and items. ,
Account_Change,To change the value of account in PO distribution lines a user will have to clear the value in Alt Account and then try to change the value in Account field. You can also refer to Knowledge Article KB0062071 in ServiceNow for additional details.,
Receiving_Required_,"""Receiving Required"" or ""Receipt is Required"" exception on a Voucher means the receiving option was set to ""Required"" on the PO. Create the receipt by copying the PO and then attach the receipt in the Voucher. Once the receipt is attached, re-start the matching process.",
PO_Defaults_on_Contracts_,"When a Procurement contract does not have a business unit specified under ""PO Defaults"" link on Contract Entry page, the system displays the error message ""Missing Business unit setup"" while trying to save the contract. To resolve this, click on the ""PO Defaults"" link, specify the Business unit, and save the contract.",
Contract_New_version,"There is a maximum amount on the contract header. A PO cannot be created for more than the maximum amount of the contract. If a PO of maximum amount has already been created from a contract, then the contract would not be available to be copied into another PO. In this case, create a new version of contract to increase its max amount:

1. Navigate to Mani Menu > Procurement contracts > LPA/Departmental Contract Search
2. Open the Contract in edit mode
3. Click on 'New Version' 
4. Increase the Max amount and make any other changes as per your requirement
5. Save and Submit the contract for approval. Once the Contract is approved it will be available to be copied in a PO",
Incorrect_Encumbrance,"The Encumbrance on a PO is calculated in the Budget Check process. If the Encumbrance on a PO is not displayed correctly then verify the Budget Status is ""Valid."" If the Budget Status is ""Error,"" verify with your departmental accounting team that a budget exists for the chartfield combination provided on the PO. If the Budget Status is ""Not Checked” then proceed to Budget Check the PO. If the issue still persists, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.",
Supplier_ID_on_PO,"When adding an LPA contract in a PO, the LPA contract will overwrite the PO Supplier with the LPA contract Supplier. The system does not allow creating a PO having a different Supplier than specified on the LPA Contract ID.  In order to create a PO from an LPA Contract the Supplier on the PO must always be same as the LPA contract ID.",
Ship_to_ID_Printable_version,"The printable version of a PO displays the Ship to Address on the report is displayed based on one of the following scenarios:
1. For a PO having only one line item, the shipping address is displayed in the ""Ship To"" section of the report.
2. For a PO having multiple PO line items and having the same shipping address for all lines, the shipping address is displayed in the ""Ship To"" section of the report.
3. For a PO having multiple PO lines and different shipping address for all lines, the shipping address is displayed on the individual lines on the report.",
Change_supplier_ID,The system only allows changing of the Supplier ID on POs in the ‘Open’ status which have never been submitted for approval. Once the PO has been submitted for approval the Supplier ID cannot be changed. To resolve this issue a user must cancel the existing PO with the incorrect Supplier information and create a new PO with the correct Supplier ID.,
Complete_PO,"POs can be closed even if a Receipt or Voucher has not been created. The encumbrance balance will be liquidated when the Budget Check is run on the closed PO. For more information, see Job Aid FI$Cal.243 found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Re-Open_PO,Once a PO has been closed and its Encumbrance gets liquidated it will not be available for receiving or invoicing. The PO must be re-opened to be received or invoiced against.,
PO_Changes,"A Change Order must be created to edit a PO which is in the ‘Dispatched’ status. Once a change order is created you will be able edit the PO line amounts and any other Miscellaneous Amounts. Note that any changes to quantity or Amount for a PO will re-trigger the approval workflow. For more information, see Job Aid FI$Cal.290 found at this link:

http://www.fiscal.ca.gov/access-fiscal/procurementjobaids.html",
Events_Approvals_,"To identify the approvers of an Event: 
1. Navigate to Main Menu > Sourcing > Maintain Events > Event WorkBench.
2. Enter Business Unit and Event ID and click on Search to find the event.
3. On event shown user must scroll to the right and click on icon for ""Approval Status"".
In order to retrigger approval process for an event system requires user to create new version of event and re-submit it for approval.
",
Chart_fields_grayed_out,"FI$Cal does not allows any modification to chartfields if there are any receipts or vouchers created for the PO line.

Use these steps to modify the chartfields for a PO having receipts and vouchers attached to a PO line:
1.Delete the voucher created for a PO line
2. Cancel the receipt created for the PO line.
3.Create a change order and modify the chartfield for the desired PO line.",
Warning_Message_New_version_,"The error message ""New contract version is available"" is displayed when the contract specified on the PO line has undergone an amendment and a new contract version is available. To update the contract version:

1. Navigate to Main Menu > Purchasing > Purchase Orders > Add/Update PO
2. Enter the Business Unit and PO ID
3. Click on ""Contract"" tab on the lines
4. Click on ""Contract Version"" and select the correct version displayed in the search and save the PO",
Budget_Check_issue,"Use these steps to resolve a Budget Check error on a PO or a Requisition: 
1. Check that all lines have been populated with the required charfields (Approp Ref, Fund, Account, Alt Account, Project, PC Bus Unit, and Reporting Structure)
2. Check if ENY and Budget Date reflect the same financial year
3. Check with your Departmental Accounting team whether there is budget available in the system for the charfield combination entered",
Warning_message_Budget_error_or_warning,"When receiving the warning message “There are some distribution lines whose budget status is either in warning or error,” the message can be ignored and the PO can proceed.
This is just a warning message and will not affect any future PO actions.",
Project_Code_issue,"Use these steps to associate the Project Code with the Project Business Unit number (PC BU):
1. Clear out the value in Project Code field
2. Enter the PC BU value
3. Enter the Project Code
4. Save",
Tax_Adjustments,"To adjust tax rates on a PO, you can divide the line amount into two lines. For example, for a line items of $500 you can create two line items of $250 each and apply the tax for one line only while making the other line item as tax exempt. This way you will be able to apply the tax rate at 50% of the price.",
Searching_PO_to_copy_on_Voucher,"A PO with the Receiving Required option set as ""Do Not Receive"" or ""Optional"" copies directly to a Voucher; If the option is set as ""Required"" then a receipt must be created from a PO which will be copied to a Voucher. Use these steps to check if the PO can be copied to a Voucher:

1. Navigate to Main Menu > Purchasing > Purchase Orders > Add/Update PO
2. Enter the business unit and the PO ID
3. Click on the ""Receiving"" tab in the Lines section
4. Confirm that the value in the field Receiving Required is either ""Do Not Receive"" or ""Optional""",
Change_project_ID_on_a_PO.,The Project ID can be changed if no Receipt or Voucher has been created for the PO. If either a Receipt or a Voucher has been created from the PO the Project ID on a PO cannot be changed.,
Signature_on_PO,"Signatures are submitted on a Configuration Management Request (CMR) from your department's DAD. Instructions for this process can be found on the FI$Cal website:

http://165.235.0.10/access-fiscal/fiscal_service_center/CMR.html",
Comments_on_Receipt,"In order for comments to be shown on a receipt, click the ""Show at Receipt"" check box in the PO comments.",
Blank_Screen,"Clear your browser cache once and try entering the information again. Follow these steps:

1. Log out from the application
2. Clear browser cache
3. Close and re-open the browser
4. Log back in to the system and try again

Use this link for more information: http://www.fiscal.ca.gov/documents/Browser_Delete_Cache_Help_Guide.pdf",
Allow_Open_Item_Reference_functionality,Allow Open Item References check box enables you to purchase items against a Contract that are not specified on that contract. This check box also enables you to reference the contract for any requisition and PO item that is ordered from this vendor within the terms and limits of this contract. This check box also enables you to add open-item price adjustments to the contract.,
New_Version_of_Contract,Making an amendment to an existing approved contract requires the creation of a new version of the contract. You can also refer to Knowledge Article KB0062069 in ServiceNow for additional details.,
Posting_Public_Events,"To ensure CSCR Events are viewable in CaleProcure, the “Post to CSCR” checkbox in the “Invite Bidders” section should remain checked. If the Event is intended to be viewed by anyone/the public, the “Public Event” checkbox should be checked and anyone can view the bids without logging into the portal.",
LPA_Acquisition_Type_Changing,"When an LPA Contract has been selected on the PO, the Acquisition Type defaults to the Acquisition Type specified on the LPA contract.",
Search_PO,"Use the following steps to locate an Open PO:

1. Navigate to Main Menu > Purchasing > Purchase Orders > Add/Update POs
2. Select the Find an Existing Value tab, enter the BU, and PO ID and Click Search

Use the following steps to search for a Closed, Cancelled or Pending Cancel status PO:

1. Navigate to Main Menu > Purchasing > Review PO Information > Purchase Orders
2. Enter the BU and PO ID and click Search",
Contract_Search_on_SCPRS,"To see the status of an LPA contract do the following:

1. Navigate to Main Menu > Procurement Contracts > LPA/Departmental Contracts
2. Enter the LPA contract number in Contract ID field
3. Select the checkbox for ""Show LPA's"" and click Search

NOTE: FI$Cal only allows the selection of approved LPA contracts on the SCPRS Entry Page (see knowledge article KB0062064)",
Order_amount_exceeds_on_PO,"If there are PO's created from a contract that have encumbered the maximum amount value specified on the contract, the warning message ""PO amount exceeds the contract maximum"" will appear. Click ""Ok"" and proceed to save the PO. To research which POs were created from the contract, follow these steps:

1. Navigate to Main Menu > Procurement Contracts > LPA/Departmental Contracts
2. Enter the Business Unit and Contract number in Contract ID field and click Search
3. Click on ""View"" Link in the search result to open the On Contract Entry page
4. Click on the ""Document Status"" link on the Contract Entry Page to see the POs created from the contract",
PO_Receipts_creation,"A receipt can be created from a PO if both of the following are true: 
1. The PO status is ""Dispatched""
2. The Budget Check status on the PO is ""Valid""",
Finding_a_PO,"To search for a PO that is Open:

1. Navigate to Main Menu > Purchasing > Purchase Orders > Add/Update POs
2. Select the Find an Existing Value tab, enter the BU, and PO ID and Click Search. 

To search for a PO that is Closed, Cancelled or Pending Cancel: 
1. Navigate to Main Menu > Purchasing > Review PO Information > POs
2. Enter the BU, and PO ID and Click Search.",
Receipt_Number_query,"FI$Cal generates Receipt Numbers automatically and allows users to create Receipt Numbers manually. To create a receipt number manually: 
1. Navigate to Main Menu > Purchasing > Receipts > Add/Update Receipts
2. Click on the ""Add a New Value"" tab
3. Enter the Business Unit
4. In the Receipt Number field, clear out the value ""NEXT"" and enter the desired Receipt Number and click on “Add""",
Editing_SCPRS,"To modify an existing SCPRS entry a Change Order must be created.
Refer to the link below, which explains the steps for amending a FI$Cal SCPR entry.
http://fiscal.ca.gov/upk/PO382_v2.2.0/dhtml_kp.html?Guid=78db33c1-eb66-4f2d-8386-3ca500646333&Mode=S&Back",
Searching_a_Requisition,"To locate a Requisition follow these steps: 
1. Navigate to Main Menu > eProcurement > Manage Requisition
2. Press the ""Clear"" button
3. Enter the Business Unit and Requisition ID, click Search",
Changing_Acquisition_on_Fiscal_SCPRS,"FI$Cal does not allow changing the Acquisition Type and Acquisition Method once a SCPRS entry is saved.
The only option for a user is to cancel the existing SCPRS entry and create a new SCPRS entry with correct values.
To cancel an SCPRS entry:
http://fiscal.ca.gov/upk/PO382_v2.2.0/dhtml_kp.html?Guid=78db33c1-eb66-4f2d-8386-3ca500646333&Mode=S&Back",
Changing_Supplier_ID_on_Contract,"FI$Cal only allows change of supplier on a contract that does not have any contract lines. 
To change supplier on a contract that has lines, a user will have to create new version of contract.
You can also refer to Knowledge Article KB0062069 in ServiceNow for additional details.",
Change_Item_Description_on_PO,"FI$Cal allows a user to change the item description of a PO line by creating a Change Order if it satisfies the following conditions:
1. No Receipts have been created out of PO line.
2. No Vouchers have been created for the PO line. 
If any of the above conditions are true, delete the Receipts or Vouchers associated with the PO before creating a Change Order.
Follow the instructions mentioned in knowledge article KB0059793 for the detail steps to change an item description on a PO.",
Change_PO_Document_on_SCPRS,FI$Cal does not allow changing the Purchase Document number once a SCPRS entry is saved. The only option is to cancel the existing SCPRS entry and create a new SCPRS entry with the correct Purchase Document number. More information can be found using this link: http://fiscal.ca.gov/upk/PO382_v2.2.0/dhtml_kp.html?Guid=78db33c1-eb66-4f2d-8386-3ca500646333&Mode=S&Back,
Freight_Charge_on_PO,FI$Cal allows entering of freight charges on a PO. Refer to knowledge article KB0062072 for detailed steps of adding Freight Charges on a PO.,
Attach_document_to_an_Event,"FI$Cal allows attaching a document to an Event in ""Open"" status. If an event is in ""Posted""’ status, a new version of the Event has to be created to attach any new documentation. More information can be found using this link: http://www.fiscal.ca.gov/upk/PO383_v2.1.0/html/tpc/fcfa13b3-1079-40f1-9321-c935dbd02517/topic.html",
Change_Email_address_on_Event,Refer to knowledge article KB0062058 for detailed steps of how to change the email address on an Event.,
Event_Bid_History,Please refer to knowledge article KB0062206 for detailed steps of how to run a report listing the suppliers who have viewed a bid in Cal eProcure website.,
PO_Encumbrance_Multiple_Issues,"Run the Budget Check process for a PO to resolve any discrepancies shown in Encumbrance balance of a PO. If the issue still persists after running the Budget Check, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.",
Failed_budget_check_on_PO,"The PO will need to be Budget Checked before the line item can be cancelled. Once the PO has been Budget Checked successfully, the PO line can be cancelled. If this solution does not work, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.",
Editing_a_Procurement_Contract,"The Base price on a contract can be changed anytime if the contract status is open. If the contract is in approved status, a new version of the contract needs to be created to change the base price on the contract. Refer to the knowledge article KB0062069 for detail steps for creating a new version of a contract.",
Cancelling_a_receipt,"To cancel a receipt:
1. Navigate to Main Menu > Purchasing > Receipts > Add/Update Receipts
2. Provide the Business Unit and Receipt ID
3. Open the Receipt and click on the ""Cancel"" icon to cancel the receipt",
New_Version_of_Contract,FI$Cal allows amendment to an approved contract by creating a new version of the contract. Refer to Knowledge Article KB0062069 which explains the steps in detail of how to create a new version of a contract.,
Close_a_Requisition,"To Close a Requisition, refer to Knowledge Article KB0062076 in ServiceNow. ",
Worklist,"To troubleshoot an empty worklist, first Verify you are viewing the Financials worklist NOT aPortal worklist. Follow these steps to view the Financials worklist:

1. Navigate to http://www.fiscal.ca.gov/
2. Click on “Access Fi$Cal”
3. Click on “Access the FI$Cal Application”
4. Click on “Agree” for Terms and Conditions
5. Enter Username
6. Enter “Password”
7. Enter OTP code (if required for user ID)
8. An Employee portal with the address as below opens up https://portal.fiscal.ca.gov/psp/psppd1/EMPLOYEE/EMPL/h/?tab=ZZ_FISCAL “
9. Click on “Peoplesoft” Link on Employee portal.
10. The Financials portal should open with this url: https://financials.fiscal.ca.gov/psp/psfpd1/EMPLOYEE/ERP/h/?tab=DEFAULT
11: Click on “Worklist” link on this page to view the worklist items awaiting your approval

Secondly, verify your User ID has been setup correctly to receive Worklist Items:
1. Navigate to Main Menu > My System Profile
2. Verify the checkbox “Worklist User” is selected

If the issue still exists, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.
",
Dispatch_Pos,"In order to dispatch or reprint a dispatched PO in Fi$Cal:
1. The PO must be in the “Approved” Status
2. The PO must have its Budget Check status as “Valid”
3. If 1 & 2 are true, follow the steps in the Procurement FAQ, #2,""How do I dispatch/print the original PO to send to the vendor?""",
Data_integrity_error,Submit a ticket to the FI$Cal Service Center fiscalservicecenter@fiscal.ca.gov or through ServiceNow to resolve a Data Integrity Error.,
Bidder_Inactive,"When a Bidder selected on an Event Invitation is ""Inactive,"" FI$Cal displays the error message ""Bidder No longer Available"" and will prevent the buyer from saving the Event. To resolve this issue, remove the Bidder from the list of invited bidders and save Event.",
UNSPSC_codes,This issue is caused due to user not having access to the UNSPSC catalog. Create a ticket with the FI$Cal Service Center to resolve the issue.,
Cancel_receipt,"NOTE: To cancel a Receipt, all associated Vouchers must first be deleted.
Follow these steps to cancel a Receipt:
1. Navigate to Main Menu > Purchasing > Receipts > Add/Update Receipts
2. Click on the “Find and Existing Value” and enter the Business Unit and Receipt ID
3. Click on the red X (the Cancel icon next to Receipt Status) then click “Save”",
Cancel_Events,"To cancel an event: 
1. Navigate to Main Menu > Sourcing > Maintain Events > Events Workbench
2. Enter Event ID and click on search.
3. Click on red icon (right side of search result).
",
Budget_Checking,“Budget not established” errors should be reported to the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow.,
PO_Activity,"FI$Cal maintains the history of when and who has closed a PO. Follow the steps below to find out when and who had closed a PO:
1. Navigate to Main Menu > Purchasing > Purchase Orders > Review PO Information > Purchase Orders.
2. Click on “Find and Existing Value” and enter the Business Unit, PO ID and then click on the Search button.
3. Click on “Related Links” on the bottom right hand side of the PO Inquiry page.
4. Click on “Activity Log.”
5. The name of the user and time when a PO was closed is displayed under the “Modified” Section.",
PO_Buyer,"If you are unable to make changes to a PO you should have access to, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.",
PO_approval,"If a PO is not appearing in a worklist there are 3 scenarios to troubleshoot for issue:

1. Check if the PO has been approved by another approver.
2. Verify User is not viewing the Portal worklist instead of Financials Worklist.
3. Verify User ID has been setup correctly to receive Worklist Items.

After checking these steps if the issue still exists then submit a ticket to the FI$Cal Service center through ServiceNow or email fiscalservicecenter@fiscal.ca.gov for further assistance. 
",
Close_Multiple_Pos,To close multiple POs navigate to Main Menu > Purchasing > Purchase Orders > Buyer's Workbench. The buyer’s workbench can be used for batch closure of POs. This allows you to select a range of POs and close them all together.,
Requisition_Approval,When receiving ‘Error Finding Worklist item’ message check if the requisition is approved by any of the Approvers. If it has already been approved then it will no longer appear in your worklist and you will receive this error message regarding missing worklist items.,
New_Location,"To add, update, or remove a ship to location raise a ticket with Fiscal Service Center via ServiceNow or by emailing fiscalservicecenter@fiscal.ca.gov along with a Configuration Modification Request (CMR) of the requested changes. CMRs can be found via this link: http://165.235.0.10/access-fiscal/fiscal_service_center/CMR.html",
PO_Denial,"A PO can be submitted for approval again if it has been denied. To re-trigger the workflow, make a change to the quantity or amount of any line item and save. Then revert the changes to the POs quantity/amount to the previous value and save the PO once again. This will re-trigger the routing workflow of the PO for approval.",
Add_new_Account_Code,"To add a new Account Code, fill out a Configuration Modification Requests (CMR) form and submit it to the FI$Cal Service Center fiscalservicecenter@fiscal.ca.gov. CMRs can be found via this link: http://165.235.0.10/access-fiscal/fiscal_service_center/CMR.html",
New_Approver_Request,Approver is a role in FI$Cal. Access is based on the role set up in the system. Requests for access to FI$Cal must come from the Departmental Authority/Designee (DAD). The form for this can be found at this link: http://www.fiscal.ca.gov/access-fiscal/FISCal_Service_Center/EndUserAccessForms.html.,
Chart_fields_on_PO,Re-check all the Chart Fields on the PO lines to avoid getting this message. You can ignore this warning by clicking on the OK button and system will allow you to continue to save the PO. The PO will not be budget checked successfully unless all the Chart Fields on the PO lines are correct.,
Re-Open_PO,"Refer to FAQ# 35 ""How do I re-open my closed Puchase Order ID?"" in the link below for detailed steps:
http://fiscal.ca.gov/faqs/",
PO_dispatch,"This error message may occur if the servers are down. The Dispatch will remain in Queued status. Wait a few minutes and try dispatching the PO again. If this does not resolve the issue, raise a ticket with the FI$Cal Service Center via email (fiscalservicecenter@fiscal.ca.gov ) or ServiceNow for further assistance.",
Attachments_on_Event,"FI$Cal allows attaching of documents to a posted event by creating a new version of the event.
Follow the link below which explains in detail how to create a new version of an event.
http://www.fiscal.ca.gov/upk/PO383_v2.1.0/html/tpc/fcfa13b3-1079-40f1-9321-c935dbd02517/topic.html
",
